Time (s),Voltage (Volts),Voltage (microvolts)
0.3326191929,0.0003742755338,374.2755338
0.3342183229,0.0003742755338,374.2755338
0.3358174529,0.0003742755338,374.2755338
0.3374165829,0.0003742755338,374.2755338
0.3390157129,0.0007088071716,708.8071716
0.3406148429,0.0007088071716,708.8071716
0.3422139729,0.0007088071716,708.8071716
0.3438131029,0.0007088071716,708.8071716
0.3454122329,0.0007088071716,708.8071716
0.3470113629,0.0003742755338,374.2755338
0.3486104929,0.0003742755338,374.2755338
0.3502096229,0.0003742755338,374.2755338
0.3518087529,0.0003742755338,374.2755338
0.3534078829,0.0003742755338,374.2755338
0.3550070129,0.0003742755338,374.2755338
0.3566061429,0.0007088071716,708.8071716
0.3582052729,0.0007088071716,708.8071716
0.3598044029,0.0007088071716,708.8071716
0.3614035329,0.0007088071716,708.8071716
0.3630026629,0.0007088071716,708.8071716
0.3646017929,0.0003742755338,374.2755338
0.3662009229,0.0003742755338,374.2755338
0.3678000529,0.0003742755338,374.2755338
0.3693991829,0.0003742755338,374.2755338
0.3709983129,0.0003742755338,374.2755338
0.3725974429,0.0007088071716,708.8071716
0.3741965729,0.0007088071716,708.8071716
0.3757957029,0.0007088071716,708.8071716
0.3773948329,0.0007088071716,708.8071716
0.3789939629,0.0007088071716,708.8071716
0.3805930929,0.0003742755338,374.2755338
0.3821922229,0.0003742755338,374.2755338
0.3837913529,0.0003742755338,374.2755338
0.3853904829,0.0003742755338,374.2755338
0.3869896129,0.0003742755338,374.2755338
0.3885887429,0.0007088071716,708.8071716
0.3901878729,0.0007088071716,708.8071716
0.3917870029,0.0007088071716,708.8071716
0.3933861329,0.0007088071716,708.8071716
0.3949852629,0.0007088071716,708.8071716
0.3965843929,0.0007088071716,708.8071716
0.3981835229,0.0003742755338,374.2755338
0.3997826529,0.0003742755338,374.2755338
0.4013817829,0.0003742755338,374.2755338
0.4029809129,0.0003742755338,374.2755338
0.4045800429,0.0007088071716,708.8071716
0.4061791729,0.0007088071716,708.8071716
0.4077783029,0.0007088071716,708.8071716
0.4093774329,0.0007088071716,708.8071716
0.4109765629,0.0007088071716,708.8071716
0.4125756929,0.0007088071716,708.8071716
0.4141748229,0.0003742755338,374.2755338
0.4157739529,0.0003742755338,374.2755338
0.4173730829,0.0003742755338,374.2755338
0.4189722129,0.0003742755338,374.2755338
0.4205713429,0.0003742755338,374.2755338
0.4221704729,0.0007088071716,708.8071716
0.4237696029,0.0007088071716,708.8071716
0.4253687329,0.0007088071716,708.8071716
0.4269678629,0.0007088071716,708.8071716
0.4285669929,0.0007088071716,708.8071716
0.4301661229,0.0007088071716,708.8071716
0.4317652529,0.0003742755338,374.2755338
0.4333643829,0.0003742755338,374.2755338
0.4349635129,0.0003742755338,374.2755338
0.4365626429,0.0003742755338,374.2755338
0.4381617729,0.0003742755338,374.2755338
0.4397609029,0.0007088071716,708.8071716
0.4413600329,0.0007088071716,708.8071716
0.4429591629,0.0007088071716,708.8071716
0.4445582929,0.0007088071716,708.8071716
0.4461574229,0.0007088071716,708.8071716
0.4477565529,0.0003742755338,374.2755338
0.4493556829,0.0003742755338,374.2755338
0.4509548129,0.0003742755338,374.2755338
0.4525539429,0.0003742755338,374.2755338
0.4541530729,0.0003742755338,374.2755338
0.4557522029,0.0007088071716,708.8071716
0.4573513329,0.0007088071716,708.8071716
0.4589504629,0.0007088071716,708.8071716
0.4605495929,0.0007088071716,708.8071716
0.4621487229,0.0007088071716,708.8071716
0.4637478529,0.0003742755338,374.2755338
0.4653469829,0.0003742755338,374.2755338
0.4669461129,0.0003742755338,374.2755338
0.4685452429,3.97E-05,3.97E+01
0.4701443729,0.0003742755338,374.2755338
0.4717435029,0.0007088071716,708.8071716
0.4733426329,0.0007088071716,708.8071716
0.4749417629,0.0007088071716,708.8071716
0.4765408929,0.0007088071716,708.8071716
0.4781400229,0.0007088071716,708.8071716
0.4797391529,0.0007088071716,708.8071716
0.4813382829,0.0003742755338,374.2755338
0.4829374129,0.0003742755338,374.2755338
0.4845365429,0.0003742755338,374.2755338
0.4861356729,0.0003742755338,374.2755338
0.4877348029,0.0003742755338,374.2755338
0.4893339329,0.0007088071716,708.8071716
0.4909330629,0.0007088071716,708.8071716
0.4925321929,0.0007088071716,708.8071716
0.4941313229,0.0007088071716,708.8071716
0.4957304529,0.0007088071716,708.8071716
0.4973295829,0.0003742755338,374.2755338
0.4989287129,0.0003742755338,374.2755338
0.5005278429,0.0003742755338,374.2755338
0.5021269729,0.0003742755338,374.2755338
0.5037261029,0.0003742755338,374.2755338
0.5053252329,0.0003742755338,374.2755338
0.5069243629,0.0007088071716,708.8071716
0.5085234929,0.0007088071716,708.8071716
0.5101226229,0.0007088071716,708.8071716
0.5117217529,0.0007088071716,708.8071716
0.5133208829,0.0007088071716,708.8071716
0.5149200129,0.0003742755338,374.2755338
0.5165191429,0.0003742755338,374.2755338
0.5181182729,3.97E-05,3.97E+01
0.5197174029,0.0003742755338,374.2755338
0.5213165329,0.0003742755338,374.2755338
0.5229156629,0.0007088071716,708.8071716
0.5245147929,0.0007088071716,708.8071716
0.5261139229,0.0007088071716,708.8071716
0.5277130529,0.0007088071716,708.8071716
0.5293121829,0.0007088071716,708.8071716
0.5309113129,0.0003742755338,374.2755338
0.5325104429,0.0003742755338,374.2755338
0.5341095729,0.0003742755338,374.2755338
0.5357087029,0.0003742755338,374.2755338
0.5373078329,0.0003742755338,374.2755338
0.5389069629,0.0007088071716,708.8071716
0.5405060929,0.0007088071716,708.8071716
0.5421052229,0.0007088071716,708.8071716
